0: 3079,  seed 0, powerscore 3
1: 1526,  seed 0, powerscore 3
2: 1406,  seed 23862, powerscore 3
3: 1176,  seed 31960, powerscore 3
4: 9320,  seed 15766, powerscore 3
5: 586,  seed 24851, powerscore 1
6: 4305,  seed 16650, powerscore 1
7: 672,  seed 18705, powerscore 1
8: 7858,  seed 28581, powerscore 3
9: 11716,  seed 26637, powerscore 1
10: 2448,  seed 0, powerscore 1
11: 1570,  seed 19558, powerscore 3
12: 1585,  seed 18660, powerscore 1
13: 885,  seed 0, powerscore 3
14: 3308,  seed 0, powerscore 11
15: 874,  seed 0, powerscore 3
16: 1658,  seed 0, powerscore 3
17: 2264,  seed 0, powerscore 3
18: 1093,  seed 0, powerscore 3
19: 2074,  seed 0, powerscore 3
20: 1728,  seed 0, powerscore 1
21: 1330,  seed 0, powerscore 3
22: 3078,  seed 0, powerscore 1
23: 3512,  seed 0, powerscore 1
24: 3794,  seed 18, powerscore 3
