0: 3079,  seed 0, powerscore 3
1: 1526,  seed 0, powerscore 3
2: 996,  seed 0, powerscore 3
3: 937,  seed 0, powerscore 1
4: 8828,  seed 0, powerscore 1
5: 544,  seed 0, powerscore 1
6: 3972,  seed 0, powerscore 1
7: 608,  seed 0, powerscore 1
8: 7753,  seed 0, powerscore 3
9: 10232,  seed 0, powerscore 1
10: 2448,  seed 0, powerscore 1
11: 1207,  seed 0, powerscore 3
12: 1131,  seed 0, powerscore 3
13: 885,  seed 0, powerscore 3
14: 3308,  seed 0, powerscore 11
15: 874,  seed 0, powerscore 3
16: 1658,  seed 0, powerscore 3
17: 2264,  seed 0, powerscore 3
18: 1093,  seed 0, powerscore 3
19: 2074,  seed 0, powerscore 3
20: 1728,  seed 0, powerscore 1
21: 1330,  seed 0, powerscore 3
22: 3078,  seed 0, powerscore 1
23: 3512,  seed 0, powerscore 1
